city,country,latitude,longitude,max temperature,humidity,cloudiness,wind speed,date
irara,BR,-12.05,-38.77,69.21,97,94,6.2,1593056484
palmas bellas,PA,9.23,-80.09,81.0,88,99,8.01,1593056484
bloomingdale,US,27.89,-82.24,84.99,83,1,4.7,1593056484
hambantota,LK,6.12,81.12,78.8,100,20,3.36,1593056056
touros,BR,-5.2,-35.46,73.4,83,75,3.36,1593056485
wonogiri,ID,-7.81,110.93,84.2,74,96,6.93,1593056485
broome,US,42.25,-75.83,64.4,59,1,4.7,1593056073
tiksi,RU,71.69,128.87,60.76,52,36,7.52,1593056069
puerto gaitan,CO,4.31,-72.08,74.97,90,78,4.45,1593056417
ovalle,CL,-30.6,-71.2,50.18,72,0,1.48,1593056331
gimli,CA,50.63,-96.99,64.0,74,27,1.99,1593056425
qaanaaq,GL,77.48,-69.36,35.11,83,9,1.43,1593056059
portland,US,45.52,-122.68,73.99,56,20,14.99,1593055990
saint-philippe,RE,-21.36,55.77,66.2,72,22,6.93,1593056063
bilibino,RU,68.05,166.44,62.85,34,100,15.95,1593056103
patacamaya,BO,-17.23,-67.92,37.38,60,0,3.85,1593056486
fort-shevchenko,KZ,44.51,50.26,77.97,66,100,9.37,1593056486
vrises,GR,35.49,23.89,69.01,93,20,2.75,1593056486
northam,GB,51.03,-4.22,60.01,86,9,1.99,1593056263
aljezur,PT,37.32,-8.8,68.0,85,0,10.96,1593056486
lompoc,US,34.64,-120.46,60.8,82,37,9.17,1593056487
bahia honda,CU,22.9,-83.16,79.48,87,5,8.61,1593056487
leningradskiy,RU,69.38,178.42,35.85,82,100,10.0,1593056091
pleasanton,US,37.66,-121.87,77.0,44,1,9.17,1593056208
chumikan,RU,54.72,135.31,46.29,81,97,9.44,1593056487
tawau,MY,4.25,117.89,86.0,74,20,5.82,1593056487
eureka,US,40.8,-124.16,59.0,91,56,3.0,1593056446
atuona,PF,-9.8,-139.03,79.56,67,18,14.45,1593056066
broken hill,AU,-31.95,141.43,59.0,44,0,8.05,1593056065
atar,MR,20.52,-13.05,89.13,33,47,3.24,1593056124
urucuca,BR,-14.59,-39.28,65.16,95,32,2.75,1593056488
kudahuvadhoo,MV,2.67,72.89,83.46,77,8,12.57,1593056109
orimattila,FI,60.8,25.73,66.2,68,0,5.82,1593056488
novokorsunskaya,RU,45.64,39.15,68.0,82,86,6.71,1593056488
aldan,RU,58.6,125.39,71.2,41,44,8.57,1593056488
tromso,NO,69.65,18.96,50.0,87,90,28.86,1593056488
pitkyaranta,RU,61.57,31.48,65.41,65,43,8.39,1593056488
dikson,RU,73.51,80.55,41.68,96,95,13.06,1593056066
bulgan,MN,48.81,103.53,67.96,50,1,2.82,1593056489
constitucion,CL,-35.33,-72.42,47.86,84,4,11.39,1593056072
zhangjiakou,CN,40.81,114.88,78.12,42,0,3.91,1593056489
conil,FR,44.97,3.72,49.53,73,0,4.65,1593056489
novopetrovskoye,RU,55.99,36.47,60.8,67,62,4.47,1593056489
kirakira,SB,-10.45,161.92,84.74,70,86,7.92,1593056489
hamilton,US,39.18,-84.53,66.99,88,1,4.21,1593055810
kaitangata,NZ,-46.28,169.85,48.99,82,78,15.99,1593056083
xucheng,CN,20.35,110.13,89.6,70,100,6.71,1593056490
kitami,JP,43.8,143.89,62.6,72,75,14.99,1593056490
phuket,TH,8.0,98.25,86.0,70,20,4.7,1593056350
saskylakh,RU,71.92,114.08,87.91,19,68,8.23,1593056088
usinsk,RU,65.99,57.53,43.63,83,100,13.0,1593056490
makakilo city,US,21.35,-158.09,84.2,65,90,8.05,1593055976
kabompo,ZM,-13.59,24.2,46.24,81,0,4.36,1593056490
harper,LR,4.38,-7.72,76.35,86,99,7.36,1593055821
vestmanna,FO,62.16,-7.17,50.0,93,33,9.17,1593056491
aksarka,RU,66.56,67.8,55.36,53,79,10.8,1593056491
carauari,BR,-4.88,-66.9,72.37,96,29,1.12,1593056101
